publisher_loc,object_ID,year,label,title,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Islington, Metropolitan Borough of",B18248597,1859,Page 024,B18248597,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1848-1859.xml/Islington.1859.b18248597.xml/10182485900550030.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,,14,15,16,17,18,19,20,21,22,23,24,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under 1 Week.,1—2 Weeks.,2—3 Weeks.,Weeks.,Total under 4 Weeks.,4 Weeks and under 3 Months,3 Months and under 6 Months,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth, Metropolitan Borough",B18250828,1914,Page 044,B18250828,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1914.b18250828.xml/10182508200550028.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,No. of cases notified.,No. of patients removed to Hospital.,No. died in Hospital.,No. died at Home.,Total deaths in Hospital and at Home.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,552,464,33,8,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Wandsworth, Metropolitan Borough ",B1825083X,1915,Page 024,B1825083X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1915.b1825083x.xml/10182508300310018.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under 1 Week.,1— 2 Weeks.,2—3 Weeks.,3-4 Weeks.,Total under 4 Weeks.,4 Weeks and under 3 Months,3 Months and under 6 Months,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,1,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth (London, England)",b18120738,1916,Page 012,b18120738,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1916.b18120738.xml/10181207300170011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CauseofDeath.,Under 1 Week.,1—2 Weeks.,2—3 Weeks.,3-4 Weeks.,Totalunder 4 Weeks.,4 Weeks and under 3Months,3Months and under 6Months,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DiphtheriaandCroup,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth, Metropolitan Borough",B18250841,1917,Page 012,B18250841,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1917.b18250841.xml/10182508400170011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under 1 Week.,1—2 Weeks.,2—3 Weeks.,3—4 Weeks.,Total under 4 Weeks.,4 Weeks and under 3 Months,3 Months and under 6 Month.,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,1,...,...,...,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth (London, England)",B1812074X,1918,Page 009,B1812074X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1918.b1812074x.xml/10181207400140008.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Small-pox,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Diphtheria, and Membranous Croup",35,18,17,2,3,11,19,...,...,...,...,11,1,11,3,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth (London, England)",B1812074X,1918,Page 012,B1812074X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1918.b1812074x.xml/10181207400170011.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Err:509,Under 1 Week.,1—2 Weeks.,2—3 Weeks.,Weeks.,Total under 4 Weeks.,4 Weeks and under 3 Months,3 Months and under 6 Months,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,...,...,2,...,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wandsworth (London, England)",b18120751,1919,Page 014,b18120751,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wandsworth.1919.b18120751.xml/10181207500210013.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Cause of Death.,Under 1 Week.,1—2 Weeks.,2—3 Weeks.,3-4 Weeks.,Total under 4 Weeks.,4 Weeks and under 3 Months,3 Months and under 6 Months,6 Months and under 9 Months,9 Months and under 12 Months.,Total Deaths under 1 year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B19971291,1910,Page 039,B19971291,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1910.b19971291.xml/10199712900460014.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,Notified Cases.,Deaths.,"Attack-rate per 1,000.","Death-rate per 1,000.",Average Attack- rate 10 years 1900-1909.,Average Death- rate 10 years 1900-1909.,Percentage of Deaths to Attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,354,50,1.2,0.17,2.7,0.34,14.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B19971308,1913,Page 042,B19971308,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1913.b19971308.xml/10199713000410017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,Notified Cases.,Deaths.,"Attackrate per 1,000.","Deathrate per 1,000.",Average Attack rate 5 years 1908-1912.,Average Death rate 5 years 1908-1912.,Percentage of Deaths to Attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,427,28,1.42,0.09,1.45,0.17,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B19971308,1913,Page 086,B19971308,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1913.b19971308.xml/10199713000820034.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAUSE OF DEATH.,Under 1 Week.,1 to 2 Weeks.,2 to 3 Weeks.,3 to 4 Weeks.,Total under 1 Month.,1 to 3 Months.,3 to 6 Months.,6 to 9 Months.,9 to 12 Months.,Total Deaths under 1 Year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,...,...,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B19971308,1913,Page 094_095,B19971308,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1913.b19971308.xml/10199713000900036.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All ages.,0-1,1-2,2-5,5-15,15-25,25-45,45-65,65 and upwards.,,New Town.,Forest Gate.,High Street.,Broadway.,Park.,Upton.,West Ham.,Plaistow.,Hudsons.,Canning Town,Tidal Basin.,Custom House & Silvertown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,28,3,4,9,11,—,1,—,—,,3,2,2,1,—,—,6,4,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B1997131X,1914,Page 033,B1997131X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1914.b1997131x.xml/10199713100320017.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,Notified Cases.,Deaths.,"Attack-rate per 1,000.","Death-rate per 1,000.",Average Attack- rate 5 years 1909-1913.,Average Death- rate 5 years 1909-1913.,Percentage of Deaths to Attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,445,50,1.5,0.16,1.33,0.15,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B1997131X,1914,Page 074,B1997131X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1914.b1997131x.xml/10199713100700036.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAUSE OF DEATH.,Under 1 Week.,1 to 2 Weeks.,2 to 3 Weeks.,3 to 4 Weeks.,Total under 1 Month.,1 to 3 Months.,3 to 6 Months.,6 to 9 Months.,9 to 12 Months.,Total Deaths under 1 Year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,...,...,...,...,...,...,...,...,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WestHam,B1997131X,1914,Page 000,B1997131X,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WestHam.1914.b1997131x.xml/10199713100780039.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,All ages.,0-1,1-2,2-5,5-15,15-25,25-45,45 65,65 and upwards.,New Town.,Forest Gate.,High Street.,Broadway.,Park.,Upton.,West Ham.,Plaistow.,Hudsons.,Canning Town,Tidal Basin.,Custom House & Silvertown.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria and Croup,50,2,10,22,16,—,—,—,—,4,1,5,2,3,—,4,5,9,4,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796651,1910,Page 044,B19796651,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1910.b19796651.xml/10197966500450023.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Year.,1,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,Mean Rate.,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Fatality Rate. Diphtheria. Deaths per 1,000 cases.",4,193,69,140,78,127,199,126,190,169,250,204,148,124,138,122,46,54,51,57,71,65,48,122,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Incidence Rate. Diphtheria. Cases per 1,000 population.",5,1.2,1.8,2.4,1.2,2.1,3.1,1.7,2.2,2.1,2.9,3.3,2.9,1.9,3.4,3.5,1.6,2.6,1.9,2,1.7,1.4,1.4,2.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796663,1913,Page 237,B19796663,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1913.b19796663.xml/10197966602390152.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,"Remaining in Hospital, December 31st, 1912.",Admitted during 1913.,Total number under treatment during 1913.,Discharged during 1913.,Died during 1913.,Mortality per cent.,"Remaining in Hospital December 31st, 1913.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,15,204,219,191,9,4.45,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,b19796675,1914,Page 170,b19796675,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1914.b19796675.xml/10197966701670100.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"No. of cases admitted, 1914",No. under treatment at 31/12/13,Total No. „ during 1914,No. discharged „ 1914,No died „ 1914,Mortality % „1914,Remaining in Hospital 31/12/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,256,19,275,230,22,8.62,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,b19796675,1914,Page 189,b19796675,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1914.b19796675.xml/10197966701860115.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CAUSE OF DEATH. (1),All Ages. (2),0 to 1 (3),1 to 5 (4),5 to 10 (5),10 to 15 (6),15 to 20 (7),20 to 25 (8),25 to 35 (9),35 to 45 (10),45 to 55 (11),55 to 65 (12),65 to 75 (13),75 to 85 (14),85 & Up. (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,24,...,15,8,1,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796687,1915,Page 049,B19796687,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1915.b19796687.xml/10197966800520036.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Year.,(1),1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,*1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,(3),33,27,10,14,35,8,3,3,11,16,36,15,12,22,12,31,11,27,63,21,42,34,69,65,42,24,45,43,7,14,10,11,12,9,7,7,7,6,5,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796687,1915,Page 103,B19796687,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1915.b19796687.xml/10197966801060078.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"No. of cases admitted, 1915",No. under treatment at 31/12/14,Total No. „ during 1915,No. discharged ” 1915,No. died ” 1915,Mortality % ” 1915,Remaining in Hospital 31/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,193,23,216,172,24,11.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796699,1916,Page 054,B19796699,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1916.b19796699.xml/10197966900570026.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Year. (1),1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria. (3),33,27,10,14,35,8,3,3,11,16,36,15,12,22,12,31,11,27,63,21,42,34,69,65,42,24,45,43,7,14,10,11,12,9,7,7,7,6,5,14,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796699,1916,Page 080,B19796699,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1916.b19796699.xml/10197966900830056.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"No. of cases admitted, 1916",No. under treatment at 31/12/15,"Total No. ,, during 1916","No. discharged ,, 1916","No. died ,, 1916","Mortality % ,, 1916",Remaining in Hospital 31/12/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,176,19,195,168,15,7.6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796705,1917,Page 019,B19796705,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1917.b19796705.xml/10197967000200020.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Scarlet Fever,"1 per 100,000 of the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,"12 ,, ,, ,,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796717,1919,Page 040,B19796717,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1919.b19796717.xml/10197967100390039.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Scarlet Fever,"2 per 100,000 of the population.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,16 „ „ „,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willesden,B19796717,1919,Page 080,B19796717,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Willesden.1919.b19796717.xml/10197967100800070.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,No. of cases admitted during 1919,"No. under treatment Dec. 31st, 1918",Total No. under treatment during 1919,No. discharged during 1919,No. died during 1919,Mortality %,"Remaining in hospital, Dec. 31st, 1919",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,431,43,474,392,21,4.9,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wimbledon,B19971370,1913,Page 019,B19971370,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/Wimbledon.1913.b19971370.xml/10199713700180007.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Year.,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria.,4,6,2,9,6,9,7,2,6,3,6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Green,B19797254,1917,Page 003,B19797254,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WoodGreen.1917.b19797254.xml/10197972500040004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Disease.,No. of Deaths.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diphtheria,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Green,B19797266,1919,Page 013,B19797266,/Users/deborah/Documents/scripts/python_work/project2016/MOH tables.xml/1910-1919.xml/WoodGreen.1919.b19797266.xml/10197972600140004.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Age.,Disease.,No. of Day after Admission.,Cause of Death.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hornsey,3,Diphtheria,8,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hornsey,4,Diphtheria,6,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hornsey,5,Diphtheria,2,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hornsey,8,Diphtheria,8,Diphtheria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
